event_name,event_subtitle,description,exhibited_products,parser_notes,date_start,date_end,date_range_display,city,venue_name,venue_address,themes,tags,member_count,visitor_count,expomap_url,external_url,canceled,status,parse_status,missing_fields,source_page
Жить Красиво 2026,ярмарка красивых вещей,,"Эксклюзивная аксессуары<br />
Декор<br />
Авторские украшения, керамика, текстиль и свечи ручной работы<br />
Предметы интерьера<br />
<br />",,2026-02-28T00:00:00,2026-03-01T23:59:59.999999,2026-02-28T00:00:00 — 2026-03-01T23:59:59.999999,Москва,,,Мода и стиль; Фестивали и ярмарки,Мода; Одежда; Аксессуары; Женская мода; Handmade ярмарки,,,https://expomap.ru/expo/zhit-krasivo/,,no,active,ok,venue_address; venue_name,1
MIPIF Москва. 2026,выставка недвижимости за рубежом и на курортах России,,,,2026-02-28T00:00:00,2026-03-01T23:59:59.999999,2026-02-28T00:00:00 — 2026-03-01T23:59:59.999999,Москва,,,"Недвижимость и девелопмент; Финансы, банки, инвестиции",Недвижимость; Жилая недвижимость; Внешнеэкономическая деятельность; Инвестирование; Инвестиционные проекты,50,2000,https://expomap.ru/expo/mipif-moskva/2026/feb/,,no,active,ok,venue_address; venue_name,1
Фестиваль столярного дела 2026,Выставка-продажа,,"Столярный и резчицкий инструмент<br />
Мастер-классы",,2026-02-28T00:00:00,2026-03-01T23:59:59.999999,2026-02-28T00:00:00 — 2026-03-01T23:59:59.999999,Москва,ЦВК «Экспоцентр»,(Не задано),Лесная промышленность,Деревообработка; Деревообрабатывающее оборудование; Изделия из дерева,,,https://expomap.ru/expo/festival-stoljarnogo-dela/,,no,active,ok,,1
MybabyKO. Февраль 2026,Выставка-продажа товаров&nbsp;для беременных и новорожденных,,"Детские коляски<br />
Кроватки для новорожденных<br />
Автокресла<br />
Аксессуары и средства для ухода за новорожденными<br />
Детская одежда",,2026-02-28T00:00:00,2026-02-28T23:59:59.999999,2026-02-28T00:00:00 — 2026-02-28T23:59:59.999999,Москва,,,Детские товары,Детские товары; Детское питание; Товары для будущих мам; Детская одежда и обувь; Игрушки и игры,,,https://expomap.ru/expo/mybabyko/,,no,active,ok,venue_address; venue_name,1
Событие года 2026,Eжегодная национальная премия событийной индустрии,,"Социокультурное событие года<br />
Деловое событие года<br />
Выставочное событие года<br />
Спортивное событие года<br />
Частное событие года<br />
Корпоративное коммуникационное событие года<br />
Концертно-театральное событие года<br />
Oнлайн событие года<br />
Лучшая креативная идея мероприятия<br />
Лучшая режиссура и постановка мероприятия<br />
Лучшее оформление и дизайн мероприятия<br />
Лучшее применение технологий",,2026-03-01T00:00:00,2026-03-01T23:59:59.999999,2026-03-01T00:00:00 — 2026-03-01T23:59:59.999999,Москва,,,"Развлечения, шоу-бизнес и СМИ; Ивент-менеджмент; Фестивали и ярмарки",Организация мероприятий; Выставки; Премии; Онлайн-события,,,https://expomap.ru/expo/sobytie-goda/,,no,active,ok,venue_address; venue_name,1
Нефтегаз 2026,Международная выставка оборудования и технологий для нефтегазового комплекса,,"Геологические и геофизические исследования<br />
Строительство и бурение нефтяных и газовых скважин на суше и на море<br />
Разработка и эксплуатация нефтяных и газовых месторождений<br />
Методы воздействия на пласт в целях повышения нефтеотдачи<br />
Сбор и подготовка нефти и газа<br />
Транспорт и хранение нефти, газа и нефтепродуктов<br />
Нефтегазопереработка и нефтехимия<br />
Строительная техника<br />
Энергетическое и электротехническое оборудование для нефтегазового комплекса<br />
Химические реагенты, добавки и материалы<br />
Автоматизированные системы управления и телемеханизация процессов<br />
Контрольно-измерительные приборы<br />
Установки и изоляционные материалы<br />
Экология: научные разработки, технологии<br />
Утилизация и переработка отходов производства<br />
Поставка и сбыт нефти, газа и нефтепродуктов<br />
Экономические исследования и анализ развития нефтегазового комплекса<br />
Научно-исследовательские и проектные разработки<br />
Экспертиза проектов<br />
Информационное и программное обеспечение<br />
Научно-техническая литература",,2026-03-02T00:00:00,2026-03-05T23:59:59.999999,2026-03-02T00:00:00 — 2026-03-05T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464","Нефть, газ, горное дело",Исследование и разработка; Газ; Транспортировка; Нефтегазовая промышленность; Нефтехимические продукты; Газоснабжение; Хранение,1020,35942,https://expomap.ru/expo/neftegaz/2026/,,no,active,ok,,1
"Шины, РТИ и каучуки 2026","Международная специализированная выставка резинотехнических изделий, шин, технологий для их производства, сырья и оборудования",,"Сырье, вспомогательные материалы, полупродукты<br />
Оборудование и приборы<br />
Готовая продукция: Резинотехнические изделия общего и специального назначения<br />
Шины для всех типов колесной техники, покрышки<br />
Изделия из утилизированных и вторичных материалов<br />
Тара, упаковка и хранение<br />
Инновации и научные разработки<br />
Охрана окружающей среды, экология<br />
Контрактное производство<br />
Услуги",,2026-03-02T00:00:00,2026-03-05T23:59:59.999999,2026-03-02T00:00:00 — 2026-03-05T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Химическая промышленность; Экология и переработка,Резина; Каучук; Переработка и утилизация; Производство шин,302,10000,https://expomap.ru/expo/shiny-rti-i-kauchuki/2026/,,no,active,ok,,1
Текстильлегпром. 2026,65-я международная выставка текстильной и легкой промышленности,,"Международный салон оборудования<br />
Международный салон технического текстиля, нетканых материалов, защитной одежды и сырьевых ресурсов<br />
Международный салон трикотажных полотен<br />
Международный салон тканей и фурнитуры<br />
Международный салон одежды и аксессуаров<br />
Международный салон домашнего текстиля",,2026-03-03T00:00:00,2026-03-05T23:59:59.999999,2026-03-03T00:00:00 — 2026-03-05T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464","Легкая промышленность; Мода и стиль; Машиностроение, автоматизация, робототехника",Текстильный дизайн; Оборудование для легкой промышленности; Детская мода; Чулочно-носочные изделия; Нижнее белье; Технический текстиль; Текстильное оборудование; Текстильная продукция; Аксессуары; Текстиль; Текстиль; Ткани; Фурнитура; Ткани; Женская и мужская одежда; Швейные изделия,570,31000,https://expomap.ru/expo/tekstillegprom/2026/mar/,,no,active,ok,,1
Textile Collection Moscow 2026,"Международная выставка тканей, фурнитуры, оборудования и готовых изделий для производства модной одежды",,"Ткани для одежды<br />
Отделка и фурнитура, аксессуары<br />
Волокна и пряжа<br />
Швейное оборудование<br />
Программы технологии цифровой печати на ткани<br />
Готовые небрендированные изделия для производства коллекций одежды; <br />
Решения для фэшн-ритейла: оборудование и технологии для оснащения магазинов<br />
Нетканые материалы и технический текстиль с умными свойствами<br />
Домашний текстиль для интерьерных тканей, домашнего текстиля и материалов декорирования",,2026-03-03T00:00:00,2026-03-05T23:59:59.999999,2026-03-03T00:00:00 — 2026-03-05T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Легкая промышленность,Оборудование для легкой промышленности; Пряжа и прядильные станки; Швейная промышленность; Фурнитура; Ткани,226,5053,https://expomap.ru/expo/textile-collection-moscow/,,no,active,ok,,1
Euro Shoes Premiere Collection 2026,Международная выставка обуви,,"Обувь<br />
Сумки<br />
Аксессуары",,2026-03-04T00:00:00,2026-03-07T23:59:59.999999,2026-03-04T00:00:00 — 2026-03-07T23:59:59.999999,Москва,ЦВК «Экспоцентр»,(Не задано),Мода и стиль,Обувь; Мода; Одежда; Аксессуары,,,https://expomap.ru/expo/euro-shoes-premiere-collection/2026/mar/,,no,active,ok,,1
RosBuild 2026,"Международная выставка строительных, отделочных материалов и технологий",,"Строительные материалы<br />
Сантехника. Мебель для ванных комнат<br />
Керамическая плитка. Камень<br />
Обои, панели, молдинги<br />
Краски и декоративные покрытия<br />
Электрика. Свет<br />
Оборудование. Инструмент<br />
Благоустройство территорий. Ландшафтный дизайн<br />
Металлоизделия<br />
Теплоизоляция<br />
Быстровозводимые здания<br />
Стекло, светопрозрачные конструкции. Окна<br />
Напольные покрытия<br />
Двери, замки<br />
Интерьерные ткани<br />
Smart Living / «; умный дом»; <br />
Фасады. Кровля<br />
Строительная техника<br />
Энергосберегающие технологии<br />
Recycling / Природоохранные технологии<br />
Архитектура. Проектирование<br />
IT-решения, услуги для бизнеса<br />
Металлоконструкции<br />
Деревянное домостроение",,2026-03-04T00:00:00,2026-03-06T23:59:59.999999,2026-03-04T00:00:00 — 2026-03-06T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Интерьер и дизайн; Строительство,Мебель; Сантехника; Стройматериалы; Деревянное домостроение; Строительные технологии; Изоляционные материалы; Мебель; Строительные материалы; Отделочные материалы; Строительная техника; Напольные покрытия; Строительные инструменты,170,12036,https://expomap.ru/expo/rosbuild/2026/,,no,active,ok,,1
Мир стекла 2026,"Международная выставка стеклопродукции, технологий и оборудования для изготовления и обработки стекла",,"Производство стекла<br />
Обработка и переработка стекла: оборудование и технологии<br />
Стеклопродукция<br />
Инструмент, вспомогательное оборудование и материалы<br />
Контрольно-измерительное и регулирующее оборудование, программное обеспечение<br />
Инновации, научные и конструкторские разработки<br />
Художественное и декоративное стекло, витражи. Салон Art Glass<br />
Транспортировка и хранение стекла<br />
Консалтинг, страхование, лизинг<br />
Специализированные отраслевые издания, пресса<br />
Ассоциации, профессиональные объединения",,2026-03-04T00:00:00,2026-03-06T23:59:59.999999,2026-03-04T00:00:00 — 2026-03-06T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Промышленность; Строительство; Химическая промышленность,Строительное оборудование; Стекло; Стекло; Материалы; Декор; Инновационные разработки; Оборудование и технологии,201,7775,https://expomap.ru/expo/mir-stekla/2026/,,no,active,ok,,1
Беларусь-Россия. Март 2026,Выставка-ярмарка,,"Текстиль и предметы интерьера<br />
Народные промыслы<br />
Товары народного потребления для всей семьи<br />
Игры и игрушки для детей<br />
Домашняя утварь и посуда<br />
Подарочная и сувенирная продукция<br />
Здоровье и красота: товары и продукты для здоровья, народная медицина, косметика и парфюмерия, бижутерия и украшения<br />
Продукты питания: мясная, рыбная, молочная продукция, консервация и бакалея, кондитерские и хлебобулочные изделия, мед и продукты пчеловодства",,2026-03-10T00:00:00,2026-03-15T23:59:59.999999,2026-03-10T00:00:00 — 2026-03-15T23:59:59.999999,Москва,,,Пищевая индустрия; Потребительские товары,Кондитерские изделия; Мед; Мясная промышленность; Фермерские продукты; Мебель и декор; Подарки; Детские товары и игрушки,,,https://expomap.ru/expo/belarus-rossija/,,no,active,ok,venue_address; venue_name,1
Cabex-2026,"Международная выставка кабельно-проводниковой продукции, оборудования и материалов для ее производства",,"Кабели и провода<br />
Материалы для производства кабелей и проводов<br />
Оборудование для производства кабелей и проводов<br />
Электромонтажное оборудование<br />
Силовая электроника",,2026-03-10T00:00:00,2026-03-12T23:59:59.999999,2026-03-10T00:00:00 — 2026-03-12T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Промышленность; Строительство; Электроника; Энергетика,Электротехника; Кабели и провода; Катушки обмотки; Оптоволокно; Кабельные системы,190,5000,https://expomap.ru/expo/cabex/2026/,,no,active,ok,,1
MITT 2026,Международная выставка туризма и индустрии гостеприимства,,"Туристические организации<br />
Туроператоры и турагентства<br />
Медицинский туризм<br />
Эксклюзивный туризм<br />
Информационные технологии в туризме<br />
Размещение / проживание<br />
Перевозчики и транспортные средства<br />
Достопримечательности и развлечения<br />
Деловые мероприятия<br />
Средства информации<br />
Образование и переподготовка<br />
Недвижимость за рубежом<br />
Сопутствующие услуги",,2026-03-11T00:00:00,2026-03-13T23:59:59.999999,2026-03-11T00:00:00 — 2026-03-13T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464","Гостиничный бизнес, HoReCa; Туризм и отдых",Туристическая продукция; HoReCa; Путешествия; Туроператоры; Семейный отдых; Пляжный отдых; Туризм; Деловой туризм; Медицинский туризм; Клининговое оборудование и услуги; Туристические агентства; Места отдыха; Экономика туризма; Горнолыжные курорты; Event-индустрия,1008,16427,https://expomap.ru/expo/mitt/2026/,,no,active,ok,,1
Навигация и связь в особых условиях 2026,специализированная выставка,,"поисково-досмотровая техника (средства обнаружения взрывчатых веществ, взрывных устройств, наркотических средств и радиоактивных материалов; средства визуального досмотра; досмотровая рентгенотелевизионная техника; технические средства идентификации таможенного контроля); <br />
инженерно-техническое оборудование зон особого контроля (оборудование пунктов пропуска и досмотра, спецоборудование заграждений, инженерные средства наблюдения в зоне особого контроля); <br />
средства наблюдения и выявления (системы видеоаналитики, контрольные и охранные извещатели, видеонаблюдение и видеофиксация в зонах особого контроля)",,2026-03-12T00:00:00,2026-03-13T23:59:59.999999,2026-03-12T00:00:00 — 2026-03-13T23:59:59.999999,Москва,ВДНХ,"пр. Мира, 119с75, Москва, Россия, 129223",Оборона и безопасность,Безопасность данных; Системы перехвата данных; Командование и управление; Системы контроля; Системы слежения; Биометрические технологии,,,https://expomap.ru/expo/navigatsija-i-svjaz-v-osobyh-uslovijah/,,no,active,ok,,1
Eco Beauty Expo Весна 2026,международная выставка натуральной косметики,,"Натуральная, органическая, аюрведическая и экокосметика<br />
Косметика для веганов и вегетарианцев<br />
Косметика для беременных и кормящих<br />
Безопасная детская косметика<br />
Гипоаллергенная косметика<br />
Натуральные эфирные масла и др.",,2026-03-12T00:00:00,2026-03-14T23:59:59.999999,2026-03-12T00:00:00 — 2026-03-14T23:59:59.999999,Москва,,,Индустрия красоты; Пищевая индустрия,Косметика и парфюмерия; Медицина и здоровье; Натуральная косметика,100,2000,https://expomap.ru/expo/eco-beauty-expo/2026/mar/,,no,active,ok,venue_address; venue_name,1
Best Russia 2026,Выставка премиального отдыха и уникальных путешествий по России,,"Объекты размещения<br />
Курорты<br />
Принимающие туроператоры<br />
Комитеты по туризму<br />
Круизные компании<br />
Винодельни и рестораны<br />
Санатории и оздоровительные учреждения<br />
Транспортные компании<br />
Инновационные сервисы в туризме",,2026-03-13T00:00:00,2026-03-13T23:59:59.999999,2026-03-13T00:00:00 — 2026-03-13T23:59:59.999999,Москва,,,Туризм и отдых,Туристические услуги; Места отдыха; Туристический бизнес; Элитные курорты,,,https://expomap.ru/expo/best-russia/,,no,active,ok,venue_address; venue_name,1
Обучение за рубежом — Education Show 2026,Международная выставка,,"Экспертные консультации по всем вопросам обучения за рубежом<br />
Образовательные программы (МВА, языковые курсы, бакалавриат и магистратура, лекции и мастер-классы, спортивные лагеря и др.)",,2026-03-13T00:00:00,2026-03-14T23:59:59.999999,2026-03-13T00:00:00 — 2026-03-14T23:59:59.999999,Москва,,,Образование и EdTech,Обучающие программы; Образование; Образование за рубежом; Образовательные технологии; Образовательные учреждения; Воспитание; Воспитательные технологии,50,2000,https://expomap.ru/expo/obuchenie-za-rubezhom-education-show/,,no,active,ok,venue_address; venue_name,1
Moscow Overseas Property & Investment Show весна 2026,Выставка зарубежной недвижимости в Москве,,"Застройщики и агентства недвижимости из 30 стран<br />
Юридические услуги<br />
Инвестиции в зарубежную недвижимость",,2026-03-13T00:00:00,2026-03-14T23:59:59.999999,2026-03-13T00:00:00 — 2026-03-14T23:59:59.999999,Москва,ТВК «Тишинка»,"Тишинская площадь, Москва, Россия, 123056",Недвижимость и девелопмент,Недвижимость; Жилая недвижимость; Строительство; Девелопмент; Инвестиционные проекты,,,https://expomap.ru/expo/moscow-overseas-property-investment-show/,,no,active,ok,,1
Про частное для родителей 2026,Однодневная выставка-форум частного образования Москвы и Московской области,,"Школы<br />
Колледжи<br />
Детские сады<br />
Образовательные центры",,2026-03-14T00:00:00,2026-03-14T23:59:59.999999,2026-03-14T00:00:00 — 2026-03-14T23:59:59.999999,Москва,,,Образование и EdTech,Учебные заведения; Образование; Воспитание; Дополнительное образование; Детское развитие,,,https://expomap.ru/expo/pro-chastnoe-dlya-roditelej/2026/,,no,active,ok,venue_address; venue_name,1
Российская текстильная неделя 2026,"Конгрессно-выставочное мероприятие, посвященное текстильной и легкой промышленности",,"<p>Демонстрация достижений<br />
Биржа деловых контактов<br />
Специализированные выставки<br />
Презентации инвестиционного потенциала регионов</p>",,2026-03-16T00:00:00,2026-03-19T23:59:59.999999,2026-03-16T00:00:00 — 2026-03-19T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Легкая промышленность; Мода и стиль,Текстильный дизайн; Технический текстиль; Аксессуары; Фурнитура; Ткани; Швейные изделия,300,17350,https://expomap.ru/expo/rossijskaja-tekstilnaja-nedelja/,,no,active,ok,,1
Инлегмаш 2026,Международная выставка оборудования для текстильной и легкой промышленности,,"Оборудование для первичной обработки натуральных волокон<br />
Оборудование для переработки химических волокон<br />
Оборудование для прядильного производства<br />
Оборудование для ткацкого производства<br />
Оборудование для отделочного производства<br />
Оборудование для печати на текстиле<br />
Оборудование для производства технического текстиля и нетканых материалов<br />
Технический текстиль и нетканые материалы<br />
Ткани<br />
Красители и текстильно-вспомогательные вещества<br />
Оборудование для швейного производства<br />
Оборудование для настила и раскроя ткани<br />
Оборудование для влажно-тепловой обработки (ВТО)<br />
Машины для вязального и трикотажного производства<br />
Программное обеспечение для организации производства, САПР (CAD/CAE/CAM), программы учета<br />
Оборудование для производства обуви и кожгалантерейных изделий<br />
Сертификация продукции, оборудования, технологий<br />
Запчасти, комплектующие и техоснастка<br />
Логистика для производства, оборудования, сырья, готовой продукции и расходных материалов<br />
Финансирование, лизинг, субсидирование, инвестиционные фонды<br />
Проектирование производства, энергообеспечение производства",,2026-03-16T00:00:00,2026-03-19T23:59:59.999999,2026-03-16T00:00:00 — 2026-03-19T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1","Легкая промышленность; Машиностроение, автоматизация, робототехника",Меховые и кожаные изделия; Оборудование для легкой промышленности; Пряжа и прядильные станки; Нетканые материалы; Технический текстиль; Швейная промышленность; Текстильное оборудование; Текстильная продукция; Техника для различных отраслей; Кожевенное производство; Химическая промышленность; Промышленное оборудование; Текстильная промышленность; Текстиль; Ткани; Экологичные материалы; Дубильное оборудование; Кожсырье; Ткани; Обувная промышленность; Производство обуви; Швейные изделия,161,7300,https://expomap.ru/expo/inlegmash/,,no,active,ok,,1
ChemiPack 2026,Специализированная экспозиция упаковочных решений для FMCG,,"Упаковочные материалы, сырье и вспомогательные средства для производства упаковки.<br />
Жесткая упаковка. Коробки, банки, флаконы, блистер.<br />
Мягкая упаковка. Пакеты, мешки, пленки, саше.<br />
Композитная упаковка.<br />
Брендинг и маркировка. Производство этикеток.<br />
POSM. Рекламные упаковочные материалы, блоки, конструкции. Упаковка для торговых залов<br />
Складское, логистическое и транспортное оборудование. Стеллажи, паллеты, штабелеры, погрузчики, технологии автоматизации склада.<br />
Вторичная переработка упаковки и защита окружающей среды.",,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Транспорт и логистика; Упаковка; Химическая промышленность,Упаковка; Упаковочное оборудование; Клеящие вещества; Упаковочные материалы; Автоматизированные технологии,,,https://expomap.ru/expo/chemipack/2026/mar/,,no,active,ok,,1
TransRussia 2026,"Международная выставка транспортно-логистических услуг, складского оборудования и технологий",,"<p>Комплексные логистические услуги и экспедирование грузов<br />
Грузовые авиаперевозчики<br />
Автомобильные перевозчики<br />
Железнодорожные компании и операторы грузовых ж/д перевозок<br />
Морские и речные перевозки<br />
Контейнерные перевозки<br />
Порты и терминалы, услуги по обработке грузов в портах<br />
Негабаритные перевозки и проектные грузы<br />
Логистические, распределительные центры и терминалы<br />
Услуги и сервисы (таможенные, финансовые, сопровождение, охрана)<br />
IT-решения<br />
Техника, оборудование и компоненты<br />
Логистика для e-commerce</p>",,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Авто и мото-индустрия; Транспорт и логистика,Ж/Д транспорт; Морской транспорт; Складское хранение; Спецтехника; Спецтранспорт; Логистика; Транспортные средства; Железнодорожный транспорт; Транспортные системы; Логистические услуги; Воздушный транспорт; Транспортировка,597,30429,https://expomap.ru/expo/transrussia/2026/,,no,active,ok,,1
Zoo ExpoPlace 2026,выставка-салон товаров для домашних питомцев,,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Животные. Ветеринария.,Животные; Кошки; Собаки; Птицы,,,https://expomap.ru/expo/zoo-expoplace/,,no,active,ok,,1
HouseTech Expo 2026,Международная выставка цифровой и бытовой техники,,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Потребительские товары; Электроника,Электроника; Бытовая техника; Электротехника,,,https://expomap.ru/expo/housetech-expo/,,no,active,ok,,1
SkladTech 2026,"Специальная экспозиция складской техники, систем хранения, погрузо-разгрузочного оборудования и средств автоматизации склада",,"Складские и стеллажные системы<br />
Подъемно-транспортное оборудование для склада<br />
Оборудование и материалы для упаковки и комплектации заказов<br />
Оборудование для маркировки и сканирования<br />
Системы автоматизации склада<br />
Инженерные системы и сервисное оборудование",,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Транспорт и логистика,Подъемное оборудование; Складское хранение; Оборудование и технологии; Упаковка; Системы автоматизации,,13917,https://expomap.ru/expo/skladtech/2026/mar/,,no,active,ok,,1
BeautyChemiCos 2026,"Международная специализированная выставка косметики, парфюмерии, персональной гигиены, БАДов, товаров для красоты и здоровья",,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Индустрия красоты; Химическая промышленность; Здравоохранение и медицина,Фармацевтика; Косметика и парфюмерия; Салоны красоты; Косметическая промышленность; Биохимия,,,https://expomap.ru/expo/beautychemicos/2026/mar/,,no,active,ok,,1
ChemiCos 2026,"11-я выставка бытовой и профессиональной химии, сырья, упаковки и оборудования для производства МСТХ",,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Индустрия красоты; Химическая промышленность,Химическая промышленность; Бытовая химия; Химические продукты; Средства личной гигиены,,,https://expomap.ru/expo/chemicos/2026/,,no,active,ok,,1
Игрушка Маркет 2026,Международная специализированная выставка,,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Детские товары; Потребительские товары,Детские товары; Товары для праздника; Канцелярские принадлежности; Игрушки и игры; Обучающие и развивающие игры; Товары для творчества; Детские товары и игрушки,,,https://expomap.ru/expo/igrushka-market/,,no,active,ok,,1
Outdoor Dacha 2026,13-я международная специализированная выставка товаров для дачи и загородного отдыха,,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Ландшафт и сад,Бассейны; Садовое оборудование; Садовый инструмент; Садоводство; Садовая мебель; Садовые растения; Товары для дачи и загородного дома,,,https://expomap.ru/expo/outdoor-dacha/,,no,active,ok,,1
HouseHold Expo. Spring 2026,международная промышленная выставка товаров для дома,,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Детские товары; Интерьер и дизайн; Товары для дома,Бытовая техника; Комплектующие и фурнитура; Торги; Ванные комнаты; Строительный дизайн; Потребительские товары,,,https://expomap.ru/expo/household-expo/2026/mar/,,no,active,ok,,1
ИНТЕРТКАНЬ 2026. ВЕСНА,международная выставка текстильной и легкой промышленности,,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Детские товары; Легкая промышленность; Мода и стиль; Потребительские товары,Мода; Одежда; Спецодежда; Меховые и кожаные изделия; Оборудование для легкой промышленности; Детская мода; Спортивная одежда; Технический текстиль; Швейная промышленность; Аксессуары; Свадебная мода; Текстиль; Фурнитура; Ткани; Детская одежда и обувь,,,https://expomap.ru/expo/intertkan/2026/,,no,active,ok,,1
Design+ весна 2026,Международный выставочный проект текстильной и интерьерной моды,,"Текстильная и интерьерная мода<br />
Премиальный текстиль<br />
Обои<br />
Бассонные изделия<br />
Карнизы<br />
Ковры<br />
Освещение<br />
Дизайнерские аксессуары",,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,Main Stage,(Не задано),Интерьер и дизайн,Отделка помещений; Освещение; Дизайн интерьера; Текстильные изделия,,,https://expomap.ru/expo/design/2026/mar/,,no,active,ok,,1
ChristmasBox Podarki 2026,"21-я Международная специализированная выставка подарков, сувениров, новогодней, рождественской и праздничной продукции",,,,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464","Детские товары; Развлечения, шоу-бизнес и СМИ; Потребительские товары; Упаковка; Товары для дома",Развлечения; Анимация; Организация мероприятий,,,https://expomap.ru/expo/christmasbox-podarki/,,no,active,ok,,1
Архимед 2026,Московский международный салон изобретений и инновационных технологий,,"Медицина и медицинская диагностика<br />
Наземный, морской и водный транспорт<br />
Радио-телевидение-связь<br />
Безопасность, спасение и защита человека<br />
Общее машиностроение<br />
Борьба с загрязнениями<br />
Средства обучения, игры<br />
Сельское и лесное хозяйство<br />
Строительство и стройматериалы<br />
Металлургия",,2026-03-17T00:00:00,2026-03-19T23:59:59.999999,2026-03-17T00:00:00 — 2026-03-19T23:59:59.999999,Москва,,,Наука и инновации,Наука и новые технологии; Изобретения; Инновационные технологии,272,,https://expomap.ru/expo/arhimed/,,no,active,ok,venue_address; venue_name,1
